var,mu,sigma
eps_c,0,0.82689
eps_i,0,0.17413
eps_g,0,0.9604
eps_r,0,0.10694
eps_a,0,0.88629
eps_z,0,1.0084
eps_H,0,0.72261
eps_pi_cbar,0,0.038503
eps_x,0,0.21158
eps_d,0,1.0658
eps_mc,0,0.26207
eps_mi,0,0.22593
eps_z_tildestar,0,0.34259
eps_mu_z,0,0.4772
eps_Rstar,0,0.11259
eps_pistar,0,0.64445
eps_ystar,0,0.83717
eps_i_k,0,0.0012404
eps_i_y,0,0.0009996
me_w,0,0.33763886
me_E,0,0.225831796
me_pi_d,0,0.387298335
me_pi_i,0,0.428952212
me_y,0,0.18973666
me_c,0,0.230217289
me_i,0,0.588217647
me_imp,0,1.167904106
me_ex,0,1.387443693
me_ystar,0,0.202484567
