"tb3m","tb1y","tb2y","tb3y","tb5y","tb7y","tb10y","tb20y","tb30y","aaaboa","aaboa","aboa","bbbboa","aadefault","adefault","bbbdefault","sp500","sp500d","oil","gold","reitret","reitinc"
1,0.875550945385284,0.690238205273972,0.59977773579,0.466514440057361,0.412001649445995,0.331016839098624,0.199837667324702,0.189889244146747,-0.0196288886257399,-0.0508498334276808,-0.114784369236889,-0.0394467986336013,-0.394333160619673,-0.315826760140092,-0.0980255468231047,0.190261463645803,-0.455739776362049,0.166263546963975,-0.0921156987492476,-0.00450180546720688,0.0615858814287035
0,0.483125803528372,0.646434178736501,0.678346964909137,0.667484098047524,0.640953030175652,0.612240360712506,0.516705958605876,0.50321460261647,-0.061583101864827,-0.0657578122637495,-0.1039693186266,-0.330584897722932,0.123140783758508,-0.0148459251369683,0.0886753914555644,0.304793568818481,0.078558319208082,0.0263681926902637,-0.155577217918757,-0.0406499612415744,-0.111444327988232
0,0,0.325106248081195,0.404870177390653,0.471559068885417,0.454321037394743,0.434854260600453,0.417775482067347,0.326839291947204,-0.354345209300499,-0.344384812468473,-0.297081259121523,-0.163438332458863,0.189152588644241,0.239265284456434,-0.0651865065724342,0.301345763521255,0.141692711688175,0.122755136083541,-0.250644019493586,0.133596637089375,-0.081573533312721
0,0,0,0.127248584702717,0.281251161596471,0.352282919418708,0.392876625776678,0.425979249556995,0.490131348361649,-0.321810664515685,-0.371962905973816,-0.344681472440836,-0.273772405557191,-0.119209289985107,-0.157992202814498,-0.0567922672998743,0.100536439719566,-0.194971964413528,0.021320318676413,-0.168384267157522,-0.0725007426424394,0.160922179113055
0,0,0,0,0.188040114667601,0.266638899003936,0.346714363820158,0.383007666126304,0.390596542272034,-0.0973109768379981,-0.185547891659774,-0.147059230103934,-0.203064381295839,-0.0249486438945674,0.0767184804653674,-0.122267487392864,0.208931185600521,-0.103081924202897,0.00175656213848834,-0.139398850568851,0.235682428775312,0.0673872635345842
0,0,0,0,0,0.133516632547389,0.194542768965088,0.325600628504219,0.347724204611978,-0.062581530646209,-0.0849825616109252,-0.00424778518561124,-0.0140755416887401,0.08843649772867,0.0658360388220907,-0.00634478116382301,-0.0644175324960652,-0.127595568596034,0.31725695935344,0.0750237325296252,-0.12111314681177,0.0545008628791455
0,0,0,0,0,0,0.11866584541443,0.120741712730052,0.185890335464204,-0.214428486608067,-0.192180697422281,-0.191577096972907,-0.201849990732841,0.0174420468180261,-0.0603839215147687,-0.0147381468449485,0.119041156782509,0.088000210841929,-0.00440630776530896,0.121464140765941,0.16840877615096,0.0472045433875345
0,0,0,0,0,0,0,0.264189291612685,0.154295688977816,-0.0867928124722335,-0.0864697011587297,-0.0935899129219511,-0.016391738147481,0.167574463533145,0.0811455457023178,-0.0581409395088058,0.00453942435809322,0.177187616779816,0.0347063264591662,0.047499515744991,-0.135282816726033,-0.119139967945054
0,0,0,0,0,0,0,0,0.178393720459923,-0.196899436228476,-0.0951507890489347,-0.125640243293649,-0.0869602039124805,-0.0342303708289775,0.0377386519277666,0.0559984039049731,0.01077159484338,-0.00839573116936597,0.106986528455239,0.0759434348473107,0.159927370278095,-0.141952303510717
0,0,0,0,0,0,0,0,0,0.813038601052642,0.690280846036557,0.709166086413793,0.534368130030723,0.264695489394692,0.113246648028598,0.265370324203822,-0.232361808063115,0.18516000223592,0.0212114569458281,0.00541118490487943,-0.270270420467223,0.132306478199623
0,0,0,0,0,0,0,0,0,0,0.40562433046862,0.391699109761042,0.30139455496834,0.106012524375604,0.199377789542739,0.0425133904622403,-0.174363769761538,0.0428661086135798,-0.0665016074565496,0.104188612604227,-0.214860392174972,0.158998131620715
0,0,0,0,0,0,0,0,0,0,0,0.172385670033831,0.272170996101486,-0.0220317439087005,0.130156783228273,-0.0453520697504561,0.0148202371146271,-0.0941241278506942,-0.125641549750052,-0.0728537380547678,-0.0305584103620316,0.25729934530251
0,0,0,0,0,0,0,0,0,0,0,0,0.497012757290863,0.0712478239606582,0.0283862377123069,0.288263897385079,-0.23364546152908,0.103809636634432,0.113511241996813,0.0505772602996896,-0.383462644582108,0.325555851394298
0,0,0,0,0,0,0,0,0,0,0,0,0,0.809001575113976,0.467012705095226,0.0816437399728279,-0.0389669513939752,0.452661411221861,0.166318360277566,0.0589076917721741,0.0383254002256754,0.133298007529756
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.712407728227578,0.0231497873610888,-0.0089195957175313,-0.0463279111228418,-0.0468397514619002,-0.07175019486946,0.00885662048394911,0.11211124676915
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.888114143587886,0.0491211524044824,0.295897341903986,0.0511326969050083,0.081493791207365,0.105935967801904,-0.0526480712318712
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.751438537894358,-0.020157638961132,-0.183050298294586,-0.107504469713514,0.271433528672322,0.170713994218905
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.557812467043113,-0.0512137988507409,-0.0301793154781481,0.163699091274164,-0.288595315715022
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.860621332875735,0.0606852204541823,-0.00336847557532823,-0.0156620838426883
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.88212050060595,0.0743043374562731,-0.0194314068955139
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.668434237268929,-0.042352257020146
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.73771370032303
